,time,code,OPEN,HIGH,LOW,CLOSE,PCT_CHG,VOLUME,AMT,FREE_TURN,rsi,close_deviation,min_volume,is_min
251368,2016-06-27,600055.SH,16.9,17.49,16.42,17.4,4.19162,2807300.0,48428600.0,1.29697,7.37546322144,-0.339996586189,1333400.0,False
251692,2016-06-27,600435.SH,12.58,13.75,12.58,13.75,10.0,41092500.0,548979000.0,5.51829,14.4889414771,-0.40376818507,5466190.0,False
252294,2016-06-27,603023.SH,17.82,18.86,17.7,18.77,4.21988,11570800.0,212863000.0,9.10965,19.6595610451,-0.534826086418,1634840.0,False
255099,2016-06-28,601789.SH,5.39,5.94,5.31,5.73,6.11111,41260000.0,233394000.0,4.22711,14.1742308536,-0.415812815415,5288230.0,False
256210,2016-06-29,002460.SZ,32.03,34.9,32.03,34.4,8.1761,91346100.0,3086450000.0,17.968,18.0962619127,-0.430444716712,19484600.0,False
256303,2016-06-29,002554.SZ,6.84,7.37,6.81,7.16,5.60472,28153800.0,201363000.0,4.95889,10.7322554242,-0.463891280746,4966670.0,False
257567,2016-06-29,600620.SH,10.29,11.24,10.29,10.72,4.89237,10368700.0,113096000.0,2.26497,13.9758296736,-0.279715111201,1987860.0,False
258061,2016-06-29,603318.SH,19.28,20.21,19.2,19.23,4.62459,15297600.0,303579000.0,43.2136,13.5031632635,-0.617625420055,1787650.0,False
259367,2016-06-30,002759.SZ,15.86,15.86,15.86,15.86,9.98613,125550.0,1991220.0,0.155866,14.8918393364,-0.533186166299,125550.0,True
259879,2016-06-30,300477.SZ,23.6,25.81,23.51,25.81,10.0171,25158600.0,620298000.0,20.902,19.4949477875,-0.53342914215,3909390.0,False
260374,2016-06-30,600559.SH,22.6,24.1,22.5,23.96,6.29991,15221100.0,359989000.0,4.3489,16.2937993206,-0.471472531351,2004650.0,False
261278,2016-07-01,000716.SZ,6.76,7.16,6.75,7.08,4.73373,28444300.0,199318000.0,4.87156,16.0242632425,-0.401749123326,2514280.0,False
269803,2016-07-06,000615.SZ,9.21,9.98,9.21,9.62,4.11255,40625700.0,392354000.0,11.4761,10.8298193363,-0.432230648921,3618660.0,False
270712,2016-07-06,002638.SZ,8.4,9.3,8.27,9.0,5.88235,42835400.0,372027000.0,4.59873,17.2154784606,-0.511029012279,2224370.0,False
272324,2016-07-06,601992.SH,3.97,4.35,3.95,4.13,4.29293,39005200.0,162855000.0,1.25346,5.59387891804,-0.453631432729,5597800.0,False
274196,2016-07-07,300464.SZ,21.08,23.34,21.06,23.34,9.99057,12826900.0,292555000.0,12.7377,15.243224852,-0.513770259573,441324.0,False
277022,2016-07-08,300420.SZ,25.01,27.54,24.7,27.54,9.98403,7297630.0,193864000.0,8.31341,8.76388743663,-0.535585703325,1052900.0,False
277546,2016-07-08,600522.SH,9.48,9.92,9.42,9.79,4.03826,91474700.0,892335000.0,4.24099,13.8235713394,-0.479283016861,18111100.0,False
284928,2016-07-13,002504.SZ,9.35,10.38,9.31,10.38,9.95763,26296500.0,266257000.0,6.76945,10.7129615793,-0.556343897592,5775420.0,False
285186,2016-07-13,002769.SZ,32.29,34.64,32.19,33.75,4.45682,7789080.0,262835000.0,4.14157,7.24700358673,-0.575172448517,2154390.0,False
285635,2016-07-13,300420.SZ,25.39,26.48,24.8,26.15,6.38731,9439810.0,240323000.0,10.7538,13.188210224,-0.516783236166,1052900.0,False
287800,2016-07-14,002504.SZ,10.9,11.42,10.7,11.42,10.0193,66855100.0,744526000.0,17.2103,17.4900461975,-0.495972635992,5775420.0,False
301968,2016-07-21,002310.SZ,11.0,11.34,10.61,11.1,7.66246,71102900.0,791474000.0,5.02108,10.020378439,-0.520311149525,4805300.0,False
304841,2016-07-22,002310.SZ,10.88,11.99,10.71,11.57,4.23423,68046200.0,777326000.0,4.80522,12.8637353946,-0.488754363484,4805300.0,False
305772,2016-07-22,300450.SZ,43.2,47.56,43.12,46.74,6.76108,33038400.0,1507470000.0,32.3906,16.8250103646,-0.544402259468,3029480.0,False
307714,2016-07-25,002310.SZ,11.32,12.6,11.3,12.33,6.56871,72558300.0,886742000.0,5.12385,17.8980207585,-0.44361716529,4805300.0,False
312460,2016-07-26,601388.SH,5.5,5.83,5.4,5.73,8.11321,86414700.0,488151000.0,16.2129,4.24182629902,-0.728872906217,13029500.0,False
314317,2016-07-27,300372.SZ,4.11,5.03,4.11,5.03,10.0656,51843300.0,227428000.0,52.9056,14.9348864999,-0.520129746232,586400.0,False
315509,2016-07-27,603616.SH,15.57,16.97,15.19,16.33,4.14541,26812200.0,435392000.0,18.195,14.8617555198,-0.401787676753,2117830.0,False
318342,2016-07-28,603227.SH,9.36,10.23,9.36,9.8,5.37634,12684300.0,125593000.0,6.01806,4.52201928232,-0.48807689294,2221080.0,False
324548,2016-08-02,000839.SZ,8.39,9.1,8.38,9.05,5.60093,254747000.0,2222220000.0,6.5003,12.7819105631,-0.580338511477,54156400.0,False
332765,2016-08-04,603519.SH,23.44,24.09,23.09,24.09,10.0,6409400.0,153465000.0,8.33693,15.4507650546,-0.398013369151,279476.0,False
340234,2016-08-09,300372.SZ,2.64,2.83,2.64,2.81,4.07407,13010900.0,35775000.0,13.2775,13.3214004646,-0.496956677408,586400.0,False
353889,2016-08-16,002373.SZ,16.43,16.43,15.79,16.43,9.97323,54407800.0,887489000.0,11.6564,18.8603626999,-0.457030023629,3168350.0,False
357118,2016-08-17,002712.SZ,41.82,41.82,35.57,41.82,9.99474,31952000.0,1253160000.0,36.6604,14.5039501955,-0.557279950033,1346690.0,False
365807,2016-08-22,002712.SZ,37.59,40.61,37.08,40.61,9.99458,15935500.0,621802000.0,18.2837,18.982175307,-0.53759265796,1436080.0,False
369295,2016-08-23,300506.SZ,39.8,44.0,38.65,44.0,10.0,45660200.0,1926130000.0,60.8803,19.1446393736,-0.43708100916,5751890.0,False
400085,2016-09-07,002127.SZ,10.59,10.59,10.59,10.59,9.96885,893196.0,9458950.0,0.100032,10.6639738252,-0.45936287523,893196.0,True
402994,2016-09-08,002127.SZ,11.65,11.65,10.91,11.65,10.0094,64698700.0,739353000.0,7.24585,19.3936385897,-0.392422227437,893196.0,False
409983,2016-09-12,300499.SZ,46.8,52.8,46.13,52.8,10.0,6900530.0,356532000.0,22.9972,18.190013324,-0.425787367322,914501.0,False
411716,2016-09-13,002113.SZ,12.25,12.89,12.11,12.8,5.09031,72809000.0,914602000.0,15.3783,14.5608175198,-0.674610740388,17044100.0,False
412856,2016-09-13,300459.SZ,14.65,16.01,14.6,16.01,10.0344,81125800.0,1248380000.0,21.067,17.9932086476,-0.588944375265,20953700.0,False
421479,2016-09-20,300325.SZ,7.39,7.97,7.39,7.87,5.2139,44943900.0,348536000.0,5.65773,9.0064528422,-0.551579727073,3689050.0,False
421623,2016-09-20,300472.SZ,32.99,34.68,32.88,34.68,9.99049,4908880.0,168299000.0,14.8957,19.5007489338,-0.183673469388,342889.0,False
429734,2016-09-23,002617.SZ,17.16,17.16,17.16,17.16,10.0,2167340.0,37191600.0,0.386728,15.956996818,-0.313682358117,2167340.0,True
56375,2016-10-28,002141.SZ,8.65,9.5,8.47,9.14,5.78704,102557000.0,938658000.0,16.1098,13.0961363559,-0.616192155875,1463070.0,False
57498,2016-10-28,300465.SZ,22.25,24.64,21.81,24.31,8.52679,79940100.0,1907900000.0,31.2637,17.3340468851,-0.578313775488,1174060.0,False
80294,2016-11-09,002436.SZ,7.49,8.14,7.45,7.81,5.1144,89245700.0,700032000.0,9.16991,15.9686758786,-0.508062484253,3615110.0,False
153361,2016-12-13,600777.SH,4.21,4.52,4.21,4.52,9.97567,68427000.0,307017000.0,10.9409,4.84754300752,-0.732544378698,20995200.0,False
186485,2016-12-28,600777.SH,3.87,4.26,3.86,4.16,6.66667,152942000.0,629022000.0,6.43529,17.529915275,-0.554842161584,34139300.0,False
225021,2017-01-17,300234.SZ,17.17,18.1,17.02,18.0,4.71204,19150900.0,336202000.0,13.3803,16.2102321075,-0.31496422591,4040300.0,False
311734,2017-03-03,300304.SZ,15.13,17.07,15.13,17.07,9.98711,107587000.0,1772970000.0,14.6041,8.71192912045,-0.707545230263,14257800.0,False
327341,2017-03-10,300304.SZ,17.29,19.05,17.23,19.05,9.98845,111758000.0,2052760000.0,15.1704,18.3330375588,-0.601360188334,19277400.0,False
328331,2017-03-10,600816.SH,11.24,12.21,11.21,11.97,5.83554,119993000.0,1415300000.0,4.80433,16.3402944703,-0.475333669377,11969400.0,False
361965,2017-03-27,300398.SZ,25.34,27.58,24.52,27.58,10.012,53039200.0,1435770000.0,33.7277,15.4159646203,-0.634239335849,2204010.0,False
364157,2017-03-28,002277.SZ,7.52,8.0,7.41,7.88,4.2328,63722000.0,494219000.0,5.62793,10.5499519747,-0.480776200046,9376790.0,False
