,2015,2016,2017
01292315,-7.0,,
01292330,-9.0,,
01292345,-9.0,,
02010000,7.0,,
02010015,6.0,,
02010030,7.0,,
02010045,4.0,,
02010100,3.0,,
02010900,4.0,,
02010915,3.0,,
02010930,2.0,,
02010945,3.0,,
02011000,2.0,,
02011015,1.0,,
02011030,1.0,,
02011045,0.0,,
02011100,0.0,,
02011115,1.0,,
02011130,-1.0,,
02011330,-1.0,,
02011345,2.0,,
02011400,0.0,,
02011415,0.0,,
02011430,-2.0,,
02011445,-1.0,,
02011500,-2.0,,
02012100,-1.0,,
02012115,-3.0,,
02012130,-4.0,,
02012145,0.0,,
02012200,3.0,,
02012215,2.0,,
02012230,2.0,,
02012245,2.0,,
02012300,3.0,,
02012315,4.0,,
02012330,6.0,,
02012345,6.0,,
02020000,-4.0,,
02020015,-3.0,,
02020030,-4.0,,
02020045,-5.0,,
02020100,-2.0,,
02020900,-2.0,,
02020915,-2.0,,
02020930,-3.0,,
02020945,-3.0,,
02021000,-3.0,,
02021015,-4.0,,
02021030,-5.0,,
02021045,-2.0,,
02021100,-4.0,,
02021115,-4.0,,
02021130,-4.0,,
02021330,-4.0,,
02021345,-5.0,,
02021400,-5.0,,
02021415,-3.0,,
02021430,-2.0,,
02021445,-2.0,,
02021500,-2.0,,
02022100,0.0,,
02022115,-4.0,,
02022130,-5.0,,
02022145,-4.0,,
02022200,-2.0,,
02022215,-3.0,,
02022230,-4.0,,
02022245,-2.0,,
02022300,-3.0,,
02022315,-4.0,,
02022330,-4.0,,
02022345,-4.0,,
02030000,0.0,,
02030015,-1.0,,
02030030,-1.0,,
02030045,-1.0,,
02030100,-2.0,,
02030845,,87.0,
02030900,-1.0,90.0,
02030915,-3.0,59.0,
02030930,-1.0,56.0,
02030945,-1.0,53.0,
02031000,-2.0,46.0,
02031015,-1.0,40.0,
02031030,-2.0,41.0,
02031045,-3.0,41.0,
02031100,0.0,28.0,
02031115,0.0,33.0,
02031130,1.0,25.0,
02031330,0.0,29.0,
02031345,2.0,33.0,
02031400,0.0,37.0,
02031415,3.0,37.0,
02031430,2.0,34.0,
02031445,2.0,34.0,
02031500,1.0,24.0,
02032100,2.0,,
02032115,-3.0,,
02032130,-2.0,,
02032145,-2.0,,
02032200,-2.0,,
02032215,-1.0,,
02032230,-1.0,,
02032245,-1.0,,
02032300,0.0,,
02032315,-1.0,,
02032330,0.0,,
02032345,-1.0,,
02040000,0.0,,
02040015,0.0,,
02040030,0.0,,
02040045,2.0,,
02040100,2.0,,
02040900,1.0,,
02040915,-2.0,,
02040930,0.0,,
02040945,-1.0,,
02041000,-2.0,,
02041015,-2.0,,
02041030,-2.0,,
02041045,-3.0,,
02041100,-2.0,,
02041115,-2.0,,
02041130,1.0,,
02041330,0.0,,
02041345,1.0,,
02041400,1.0,,
02041415,-2.0,,
02041430,0.0,,
02041445,2.0,,
02041500,0.0,,
02042100,2.0,,
02042115,3.0,,
02042130,2.0,,
02042145,3.0,,
02042200,2.0,,
02042215,-1.0,,
02042230,0.0,,
02042245,-1.0,,
02042300,1.0,,
02042315,-1.0,,
02042330,-2.0,,
02042345,-1.0,,
02050000,-1.0,,
02050015,-3.0,,
02050030,-3.0,,
02050045,-3.0,,
02050100,-3.0,,
02050900,-2.0,,
02050915,3.0,,
02050930,1.0,,
02050945,1.0,,
02051000,-3.0,,
02051015,-2.0,,
02051030,-3.0,,
02051045,-1.0,,
02051100,-1.0,,
02051115,-1.0,,
02051130,-1.0,,
02051330,-2.0,,
02051345,-1.0,,
02051400,-4.0,,
02051415,-4.0,,
02051430,-2.0,,
02051445,0.0,,
02051500,0.0,,
02052100,-1.0,,
02052115,1.0,,
02052130,1.0,,
02052145,0.0,,
02052200,-1.0,,
02052215,-1.0,,
02052230,1.0,,
02052245,-1.0,,
02052300,0.0,,
02052315,0.0,,
02052330,-2.0,,
02052345,0.0,,
02060900,,29.0,
02060915,,35.0,
02060930,,38.0,
02060945,,40.0,
02061000,,32.0,
02061015,,34.0,
02061030,,32.0,
02061045,,35.0,
02061100,,31.0,
02061115,,33.0,
02061130,,34.0,
02061330,,34.0,
02061345,,32.0,
02061400,,33.0,
02061415,,31.0,
02061430,,30.0,
02061445,,33.0,
02061500,,25.0,
02062100,,24.0,
02062115,,29.0,
02062130,,31.0,
02062145,,30.0,
02062200,,30.0,
02062215,,28.0,
02062230,,30.0,
02062245,,26.0,
02062300,,30.0,
02070900,,26.0,
02070915,,29.0,
02070930,,30.0,
02070945,,34.0,
02071000,,49.0,
02071015,,46.0,
02071030,,46.0,
02071045,,53.0,
02071100,,51.0,
02071115,,52.0,
02071130,,58.0,
02071330,,57.0,
02071345,,54.0,
02071400,,50.0,
02071415,,52.0,
02071430,,54.0,
02071445,,59.0,
02071500,,56.0,
02072100,,29.0,
02072115,,24.0,
02072130,,28.0,
02072145,,29.0,
02072200,,27.0,
02072215,,24.0,
02072230,,27.0,
02072245,,32.0,
02072300,,32.0,
02080900,,49.0,
02080915,,58.0,
02080930,,62.0,
02080945,,65.0,
02081000,,70.0,
02081015,,69.0,
02081030,,66.0,
02081045,,67.0,
02081100,,68.0,
02081115,,61.0,
02081130,,59.0,
02081330,,62.0,
02081345,,61.0,
02081400,,60.0,
02081415,,66.0,
02081430,,63.0,
02081445,,60.0,
02081500,,68.0,
02082100,,52.0,
02082115,,58.0,
02082130,,49.0,
02082145,,52.0,
02082200,,47.0,
02082215,,47.0,
02082230,,48.0,
02082245,,52.0,
02082300,,48.0,
02090900,,69.0,
02090915,,67.0,
02090930,,68.0,
02090945,,67.0,
02091000,,66.0,
02091015,,68.0,
02091030,,67.0,
02091045,,67.0,
02091100,,70.0,
02091115,,72.0,
02091130,,69.0,
02091330,,69.0,
02091345,,72.0,
02091400,,69.0,
02091415,,64.0,
02091430,,66.0,
02091445,,70.0,
02091500,,58.0,
02092100,,71.0,
02092115,,69.0,
02092130,,72.0,
02092145,,73.0,
02092200,,70.0,
02092215,,72.0,
02092230,,76.0,
02092245,,68.0,
02092300,,69.0,
02100900,,67.0,
02100915,,67.0,
02100930,,65.0,
02100945,,74.0,
02101000,,75.0,
02101015,,72.0,
02101030,,72.0,
02101045,,71.0,
02101100,,69.0,
02101115,,72.0,
02101130,,72.0,
02101330,,68.0,
02101345,,79.0,
02101400,,83.0,
02101415,,78.0,
02101430,,86.0,
02101445,,76.0,
02101500,,65.0,
02102100,,53.0,
02102115,,49.0,
02102130,,53.0,
02102145,,53.0,
02102200,,70.0,
02102215,,67.0,
02102230,,70.0,
02102245,,71.0,
02102300,,72.0,
02130900,,62.0,
02130915,,56.0,
02130930,,63.0,
02130945,,64.0,
02131000,,69.0,
02131015,,68.0,
02131030,,68.0,
02131045,,73.0,
02131100,,76.0,
02131115,,75.0,
02131130,,75.0,
02131330,,78.0,
02131345,,78.0,
02131400,,75.0,
02131415,,72.0,
02131430,,74.0,
02131445,,78.0,
02131500,,74.0,
02132100,,65.0,
02132115,,67.0,
02132130,,68.0,
02132145,,66.0,
02132200,,66.0,
02132215,,67.0,
02132230,,67.0,
02132245,,74.0,
02132300,,62.0,
02140900,,80.0,
02140915,,76.0,
02140930,,76.0,
02140945,,74.0,
02141000,,75.0,
02141015,,66.0,
02141030,,65.0,
02141045,,63.0,
02141100,,63.0,
02141115,,68.0,
02141130,,75.0,
02141330,,72.0,
02141345,,75.0,
02141400,,78.0,
02141415,,77.0,
02141430,,79.0,
02141445,,77.0,
02141500,,79.0,
02142100,,79.0,
02142115,,71.0,
02142130,,74.0,
02142145,,76.0,
02142200,,72.0,
02142215,,71.0,
02142230,,72.0,
02142245,,70.0,
02142300,,82.0,
